11.11.11.112:ActiveConn,11.11.11.114:InActConn,11.11.11.112:InActConn,11.11.11.114:ActiveConn,11.11.11.113:ActiveConn,11.11.11.113:Weight,11.11.11.113:InActConn,11.11.11.112:Weight,11.11.11.114:Weight
1,23,22,0,0,98,19,99,99
1,23,22,0,0,98,19,99,99
0,23,23,0,0,87,18,99,99
0,23,23,0,0,87,18,99,99
0,23,23,0,0,87,18,99,99
0,23,23,0,0,87,18,99,99
0,23,23,0,0,87,18,99,99
0,23,23,0,0,87,18,99,99
0,23,23,0,1,99,18,99,99
0,23,23,1,1,99,18,99,99
0,23,22,1,0,99,19,99,99
0,23,22,1,1,99,19,99,99
1,24,22,0,1,99,18,99,99
1,24,21,0,1,99,19,99,99
0,24,22,1,0,12,20,99,99
0,24,22,1,0,12,19,99,99
0,24,21,1,0,12,19,99,99
